filename,label,source,probability,Set,Chunk
data1-01_chunk_1.wav,1,manual,1,1,1
data1-01_chunk_1.wav,1,model,1,1,1
data1-01_chunk_2.wav,1,manual,0.895,1,2
data1-01_chunk_2.wav,1,model,0.895,1,2
data1-01_chunk_3.wav,1,manual,0.955,1,3
data1-01_chunk_3.wav,1,model,0.955,1,3
data1-01_chunk_4.wav,1,manual,0.875,1,4
data1-01_chunk_4.wav,1,model,0.875,1,4
data1-01_chunk_5.wav,1,manual,0.71,1,5
data1-01_chunk_5.wav,1,model,0.71,1,5
data1-01_chunk_6.wav,1,manual,0.97,1,6
data1-01_chunk_6.wav,1,model,0.97,1,6
data1-01_chunk_7.wav,1,manual,0.83,1,7
data1-01_chunk_7.wav,1,model,0.83,1,7
data1-01_chunk_8.wav,1,manual,0.96,1,8
data1-01_chunk_8.wav,1,model,0.96,1,8
data1-01_chunk_9.wav,1,manual,1,1,9
data1-01_chunk_9.wav,1,model,1,1,9
data1-01_chunk_10.wav,1,manual,0.84,1,10
data1-01_chunk_10.wav,1,model,0.84,1,10
data1-01_chunk_11.wav,0,manual,0.345,1,11
data1-01_chunk_11.wav,0,model,0.345,1,11
data1-01_chunk_12.wav,1,manual,0.76,1,12
data1-01_chunk_12.wav,1,model,0.76,1,12
data1-01_chunk_13.wav,1,manual,0.94,1,13
data1-01_chunk_13.wav,1,model,0.94,1,13
data1-01_chunk_14.wav,1,manual,0.98,1,14
data1-01_chunk_14.wav,1,model,0.98,1,14
data1-01_chunk_15.wav,1,manual,0.98,1,15
data1-01_chunk_15.wav,1,model,0.98,1,15
data1-01_chunk_16.wav,1,model,0.965,1,16
data1-01_chunk_16.wav,1,model,0.965,1,16
data1-01_chunk_17.wav,1,model,0.945,1,17
data1-01_chunk_17.wav,1,model,0.945,1,17
data1-01_chunk_18.wav,1,model,0.84,1,18
data1-01_chunk_18.wav,1,model,0.84,1,18
data1-01_chunk_19.wav,1,model,0.795,1,19
data1-01_chunk_19.wav,1,model,0.795,1,19
data1-01_chunk_20.wav,1,model,0.97,1,20
data1-01_chunk_20.wav,1,model,0.97,1,20
data1-01_chunk_21.wav,1,model,0.91,1,21
data1-01_chunk_21.wav,1,model,0.91,1,21
data1-01_chunk_22.wav,1,model,0.875,1,22
data1-01_chunk_22.wav,1,model,0.875,1,22
data1-01_chunk_23.wav,1,model,0.845,1,23
data1-01_chunk_23.wav,1,model,0.845,1,23
data1-01_chunk_24.wav,1,model,0.835,1,24
data1-01_chunk_24.wav,1,model,0.835,1,24
data1-01_chunk_25.wav,1,model,0.795,1,25
data1-01_chunk_25.wav,1,model,0.795,1,25
data1-01_chunk_26.wav,1,model,0.82,1,26
data1-01_chunk_26.wav,1,model,0.82,1,26
data1-01_chunk_27.wav,1,model,0.83,1,27
data1-01_chunk_27.wav,1,model,0.83,1,27
data1-01_chunk_28.wav,1,model,0.835,1,28
data1-01_chunk_28.wav,1,model,0.835,1,28
data1-01_chunk_29.wav,1,model,0.99,1,29
data1-01_chunk_29.wav,1,model,0.99,1,29
data1-01_chunk_30.wav,1,model,0.99,1,30
data1-01_chunk_30.wav,1,model,0.99,1,30
data1-01_chunk_31.wav,1,model,0.83,1,31
data1-01_chunk_31.wav,1,model,0.83,1,31
data1-01_chunk_32.wav,1,model,0.59,1,32
data1-01_chunk_32.wav,1,model,0.59,1,32
data1-01_chunk_33.wav,1,model,0.615,1,33
data1-01_chunk_33.wav,1,model,0.615,1,33
data1-01_chunk_34.wav,0,model,0.405,1,34
data1-01_chunk_34.wav,0,model,0.405,1,34
data1-01_chunk_35.wav,0,model,0.5,1,35
data1-01_chunk_35.wav,0,model,0.5,1,35
data1-01_chunk_36.wav,1,model,0.92,1,36
data1-01_chunk_36.wav,1,model,0.92,1,36
data1-01_chunk_37.wav,0,model,0.49,1,37
data1-01_chunk_37.wav,0,model,0.49,1,37
data1-01_chunk_38.wav,0,model,0.38,1,38
data1-01_chunk_38.wav,0,model,0.38,1,38
data1-01_chunk_39.wav,1,model,0.585,1,39
data1-01_chunk_39.wav,1,model,0.585,1,39
data1-01_chunk_40.wav,0,model,0.47,1,40
data1-01_chunk_40.wav,0,model,0.47,1,40
