filename,Label,Source,Set#,Chunk#,TOD
data1-01_chunk_1.wav,1,manual,1,1,11:30:00 AM
data1-01_chunk_2.wav,1,manual,1,2,11:30:10 AM
data1-01_chunk_3.wav,1,manual,1,3,11:30:20 AM
data1-01_chunk_4.wav,1,manual,1,4,11:30:30 AM
data1-01_chunk_5.wav,1,manual,1,5,11:30:40 AM
data1-01_chunk_6.wav,1,manual,1,6,11:30:50 AM
data1-01_chunk_7.wav,1,manual,1,7,11:31:00 AM
data1-01_chunk_8.wav,1,manual,1,8,11:31:10 AM
data1-01_chunk_9.wav,1,manual,1,9,11:31:20 AM
data1-01_chunk_10.wav,1,manual,1,10,11:31:30 AM
data1-01_chunk_11.wav,0,manual,1,11,11:31:40 AM
data1-01_chunk_12.wav,0,manual,1,12,11:31:50 AM
data1-01_chunk_13.wav,1,manual,1,13,11:32:00 AM
data1-01_chunk_14.wav,1,manual,1,14,11:32:10 AM
data1-01_chunk_15.wav,1,manual,1,15,11:32:20 AM
data1-01_chunk_16.wav,1,model,1,16,11:32:30 AM
data1-01_chunk_17.wav,1,model,1,17,11:32:40 AM
data1-01_chunk_18.wav,1,model,1,18,11:32:50 AM
data1-01_chunk_19.wav,1,model,1,19,11:33:00 AM
data1-01_chunk_20.wav,1,model,1,20,11:33:10 AM
data1-01_chunk_21.wav,1,model,1,21,11:33:20 AM
data1-01_chunk_22.wav,1,model,1,22,11:33:30 AM
data1-01_chunk_23.wav,1,model,1,23,11:33:40 AM
data1-01_chunk_24.wav,1,model,1,24,11:33:50 AM
data1-01_chunk_25.wav,1,model,1,25,11:34:00 AM
data1-01_chunk_26.wav,1,model,1,26,11:34:10 AM
data1-01_chunk_27.wav,1,model,1,27,11:34:20 AM
data1-01_chunk_28.wav,1,model,1,28,11:34:30 AM
data1-01_chunk_29.wav,1,model,1,29,11:34:40 AM
data1-01_chunk_30.wav,1,model,1,30,11:34:50 AM
data1-01_chunk_31.wav,1,model,1,31,11:35:00 AM
data1-01_chunk_32.wav,1,model,1,32,11:35:10 AM
data1-01_chunk_33.wav,1,model,1,33,11:35:20 AM
data1-01_chunk_34.wav,0,model,1,34,11:35:30 AM
data1-01_chunk_35.wav,0,model,1,35,11:35:40 AM
data1-01_chunk_36.wav,1,model,1,36,11:35:50 AM
data1-01_chunk_37.wav,0,model,1,37,11:36:00 AM
data1-01_chunk_38.wav,0,model,1,38,11:36:10 AM
data1-01_chunk_39.wav,1,model,1,39,11:36:20 AM
data1-01_chunk_40.wav,0,model,1,40,11:36:30 AM
data1-01_chunk_41.wav,0,model,1,41,11:36:40 AM
data1-01_chunk_42.wav,1,model,1,42,11:36:50 AM
data1-01_chunk_43.wav,1,model,1,43,11:37:00 AM
data1-01_chunk_44.wav,1,model,1,44,11:37:10 AM
data1-01_chunk_45.wav,1,model,1,45,11:37:20 AM
data1-01_chunk_46.wav,1,model,1,46,11:37:30 AM
data1-01_chunk_47.wav,1,model,1,47,11:37:40 AM
data1-01_chunk_48.wav,1,model,1,48,11:37:50 AM
data1-01_chunk_49.wav,1,model,1,49,11:38:00 AM
data1-01_chunk_50.wav,0,model,1,50,11:38:10 AM
data1-01_chunk_51.wav,0,model,1,51,11:38:20 AM
data1-01_chunk_52.wav,1,model,1,52,11:38:30 AM
data1-01_chunk_53.wav,0,model,1,53,11:38:40 AM
data1-01_chunk_54.wav,1,model,1,54,11:38:50 AM
data1-01_chunk_55.wav,0,model,1,55,11:39:00 AM
data1-01_chunk_56.wav,0,model,1,56,11:39:10 AM
data1-01_chunk_57.wav,1,model,1,57,11:39:20 AM
data1-01_chunk_58.wav,0,model,1,58,11:39:30 AM
data1-01_chunk_59.wav,1,model,1,59,11:39:40 AM
data1-01_chunk_60.wav,1,model,1,60,11:39:50 AM
data1-01_chunk_61.wav,1,model,1,61,11:40:00 AM
data1-01_chunk_62.wav,1,model,1,62,11:40:10 AM
data1-01_chunk_63.wav,0,model,1,63,11:40:20 AM
data1-01_chunk_64.wav,1,model,1,64,11:40:30 AM
data1-01_chunk_65.wav,0,model,1,65,11:40:40 AM
data1-01_chunk_66.wav,1,model,1,66,11:40:50 AM
data1-01_chunk_67.wav,1,model,1,67,11:41:00 AM
data1-01_chunk_68.wav,1,model,1,68,11:41:10 AM
data1-01_chunk_69.wav,0,model,1,69,11:41:20 AM
data1-01_chunk_70.wav,0,model,1,70,11:41:30 AM
data1-01_chunk_71.wav,1,model,1,71,11:41:40 AM
data1-01_chunk_72.wav,1,model,1,72,11:41:50 AM
data1-01_chunk_73.wav,0,model,1,73,11:42:00 AM
data1-01_chunk_74.wav,1,model,1,74,11:42:10 AM
data1-01_chunk_75.wav,0,model,1,75,11:42:20 AM
data1-01_chunk_76.wav,1,model,1,76,11:42:30 AM
data1-01_chunk_77.wav,0,model,1,77,11:42:40 AM
data1-01_chunk_78.wav,1,model,1,78,11:42:50 AM
data1-01_chunk_79.wav,0,model,1,79,11:43:00 AM
data1-01_chunk_80.wav,1,model,1,80,11:43:10 AM
data1-01_chunk_81.wav,1,model,1,81,11:43:20 AM
data1-01_chunk_82.wav,1,model,1,82,11:43:30 AM
data1-01_chunk_83.wav,1,model,1,83,11:43:40 AM
data1-01_chunk_84.wav,1,model,1,84,11:43:50 AM
data1-01_chunk_85.wav,1,model,1,85,11:44:00 AM
data1-01_chunk_86.wav,1,model,1,86,11:44:10 AM
data1-01_chunk_87.wav,1,model,1,87,11:44:20 AM
data1-01_chunk_88.wav,1,model,1,88,11:44:30 AM
data1-01_chunk_89.wav,1,model,1,89,11:44:40 AM
data1-01_chunk_90.wav,1,model,1,90,11:44:50 AM
data1-01_chunk_91.wav,1,model,1,91,11:45:00 AM
data1-01_chunk_92.wav,1,model,1,92,11:45:10 AM
data1-01_chunk_93.wav,0,model,1,93,11:45:20 AM
data1-01_chunk_94.wav,0,model,1,94,11:45:30 AM
data1-01_chunk_95.wav,0,model,1,95,11:45:40 AM
data1-01_chunk_96.wav,0,model,1,96,11:45:50 AM
data1-01_chunk_97.wav,1,model,1,97,11:46:00 AM
data1-01_chunk_98.wav,1,model,1,98,11:46:10 AM
data1-01_chunk_99.wav,1,model,1,99,11:46:20 AM
data1-01_chunk_100.wav,0,model,1,100,11:46:30 AM
data1-01_chunk_101.wav,0,model,1,101,11:46:40 AM
data1-01_chunk_102.wav,1,model,1,102,11:46:50 AM
data1-01_chunk_103.wav,0,model,1,103,11:47:00 AM
data1-01_chunk_104.wav,0,model,1,104,11:47:10 AM
data1-01_chunk_105.wav,0,model,1,105,11:47:20 AM
data1-01_chunk_106.wav,1,model,1,106,11:47:30 AM
data1-01_chunk_107.wav,1,model,1,107,11:47:40 AM
data1-01_chunk_108.wav,1,model,1,108,11:47:50 AM
data1-01_chunk_109.wav,1,model,1,109,11:48:00 AM
data1-01_chunk_110.wav,1,model,1,110,11:48:10 AM
data1-01_chunk_111.wav,1,model,1,111,11:48:20 AM
data1-01_chunk_112.wav,1,model,1,112,11:48:30 AM
data1-01_chunk_113.wav,1,model,1,113,11:48:40 AM
data1-01_chunk_114.wav,1,model,1,114,11:48:50 AM
data1-01_chunk_115.wav,1,model,1,115,11:49:00 AM
data1-01_chunk_116.wav,1,model,1,116,11:49:10 AM
data1-01_chunk_117.wav,1,model,1,117,11:49:20 AM
data1-01_chunk_118.wav,0,model,1,118,11:49:30 AM
data1-01_chunk_119.wav,0,model,1,119,11:49:40 AM
data1-01_chunk_120.wav,0,model,1,120,11:49:50 AM
data1-01_chunk_121.wav,1,model,1,121,11:50:00 AM
data1-01_chunk_122.wav,1,model,1,122,11:50:10 AM
data1-01_chunk_123.wav,1,model,1,123,11:50:20 AM
data1-01_chunk_124.wav,1,model,1,124,11:50:30 AM
data1-01_chunk_125.wav,1,model,1,125,11:50:40 AM
data1-01_chunk_126.wav,1,model,1,126,11:50:50 AM
data1-01_chunk_127.wav,1,model,1,127,11:51:00 AM
data1-01_chunk_128.wav,0,model,1,128,11:51:10 AM
data1-01_chunk_129.wav,1,model,1,129,11:51:20 AM
data1-01_chunk_130.wav,0,model,1,130,11:51:30 AM
data1-01_chunk_131.wav,1,model,1,131,11:51:40 AM
data1-01_chunk_132.wav,0,model,1,132,11:51:50 AM
data1-01_chunk_133.wav,1,model,1,133,11:52:00 AM
data1-01_chunk_134.wav,1,model,1,134,11:52:10 AM
data1-01_chunk_135.wav,1,model,1,135,11:52:20 AM
data1-01_chunk_136.wav,1,model,1,136,11:52:30 AM
data1-01_chunk_137.wav,1,model,1,137,11:52:40 AM
data1-01_chunk_138.wav,1,model,1,138,11:52:50 AM
data1-01_chunk_139.wav,0,model,1,139,11:53:00 AM
data1-01_chunk_140.wav,1,model,1,140,11:53:10 AM
data1-01_chunk_141.wav,0,model,1,141,11:53:20 AM
data1-01_chunk_142.wav,1,model,1,142,11:53:30 AM
data1-01_chunk_143.wav,0,model,1,143,11:53:40 AM
data1-01_chunk_144.wav,1,model,1,144,11:53:50 AM
data1-01_chunk_145.wav,1,model,1,145,11:54:00 AM
data1-01_chunk_146.wav,1,model,1,146,11:54:10 AM
data1-01_chunk_147.wav,1,model,1,147,11:54:20 AM
data1-01_chunk_148.wav,1,model,1,148,11:54:30 AM
data1-01_chunk_149.wav,0,model,1,149,11:54:40 AM
data1-01_chunk_150.wav,1,model,1,150,11:54:50 AM
data1-01_chunk_151.wav,1,model,1,151,11:55:00 AM
data1-01_chunk_152.wav,1,model,1,152,11:55:10 AM
data1-01_chunk_153.wav,1,model,1,153,11:55:20 AM
data1-01_chunk_154.wav,1,model,1,154,11:55:30 AM
data1-01_chunk_155.wav,1,model,1,155,11:55:40 AM
data1-01_chunk_156.wav,1,model,1,156,11:55:50 AM
data1-01_chunk_157.wav,1,model,1,157,11:56:00 AM
data1-01_chunk_158.wav,1,model,1,158,11:56:10 AM
data1-01_chunk_159.wav,0,model,1,159,11:56:20 AM
data1-01_chunk_160.wav,1,model,1,160,11:56:30 AM
data1-01_chunk_161.wav,0,model,1,161,11:56:40 AM
data1-01_chunk_162.wav,1,model,1,162,11:56:50 AM
data1-01_chunk_163.wav,1,model,1,163,11:57:00 AM
data1-01_chunk_164.wav,1,model,1,164,11:57:10 AM
data1-01_chunk_165.wav,0,model,1,165,11:57:20 AM
data1-01_chunk_166.wav,1,model,1,166,11:57:30 AM
data1-01_chunk_167.wav,1,model,1,167,11:57:40 AM
data1-01_chunk_168.wav,0,model,1,168,11:57:50 AM
data1-01_chunk_169.wav,1,model,1,169,11:58:00 AM
data1-01_chunk_170.wav,1,model,1,170,11:58:10 AM
data1-01_chunk_171.wav,1,model,1,171,11:58:20 AM
data1-01_chunk_172.wav,1,model,1,172,11:58:30 AM
data1-01_chunk_173.wav,1,model,1,173,11:58:40 AM
data1-01_chunk_174.wav,1,model,1,174,11:58:50 AM
data1-01_chunk_175.wav,1,model,1,175,11:59:00 AM
data1-01_chunk_176.wav,0,model,1,176,11:59:10 AM
data1-01_chunk_177.wav,1,model,1,177,11:59:20 AM
data1-01_chunk_178.wav,0,model,1,178,11:59:30 AM
data1-01_chunk_179.wav,1,model,1,179,11:59:40 AM
data1-01_chunk_180.wav,0,model,1,180,11:59:50 AM
data1-01_chunk_181.wav,1,model,1,181,12:00:00 PM
data1-01_chunk_182.wav,1,model,1,182,12:00:10 PM
data1-01_chunk_183.wav,1,model,1,183,12:00:20 PM
data1-01_chunk_184.wav,1,model,1,184,12:00:30 PM
data1-01_chunk_185.wav,1,model,1,185,12:00:40 PM
data1-01_chunk_186.wav,1,model,1,186,12:00:50 PM
data1-01_chunk_187.wav,1,model,1,187,12:01:00 PM
data1-01_chunk_188.wav,0,model,1,188,12:01:10 PM
data1-01_chunk_189.wav,1,model,1,189,12:01:20 PM
data1-01_chunk_190.wav,1,model,1,190,12:01:30 PM
data1-01_chunk_191.wav,1,model,1,191,12:01:40 PM
data1-01_chunk_192.wav,1,model,1,192,12:01:50 PM
data1-01_chunk_193.wav,1,model,1,193,12:02:00 PM
data1-01_chunk_194.wav,0,model,1,194,12:02:10 PM
data1-01_chunk_195.wav,1,model,1,195,12:02:20 PM
data1-01_chunk_196.wav,1,model,1,196,12:02:30 PM
data1-01_chunk_197.wav,0,model,1,197,12:02:40 PM
data1-01_chunk_198.wav,0,model,1,198,12:02:50 PM
data1-01_chunk_199.wav,1,model,1,199,12:03:00 PM
data1-01_chunk_200.wav,0,model,1,200,12:03:10 PM
data1-01_chunk_201.wav,0,model,1,201,12:03:20 PM
data1-01_chunk_202.wav,1,model,1,202,12:03:30 PM
data1-01_chunk_203.wav,0,model,1,203,12:03:40 PM
data1-01_chunk_204.wav,1,model,1,204,12:03:50 PM
data1-01_chunk_205.wav,1,model,1,205,12:04:00 PM
data1-01_chunk_206.wav,1,model,1,206,12:04:10 PM
data1-01_chunk_207.wav,1,model,1,207,12:04:20 PM
data1-01_chunk_208.wav,1,model,1,208,12:04:30 PM
data1-01_chunk_209.wav,1,model,1,209,12:04:40 PM
data1-01_chunk_210.wav,1,model,1,210,12:04:50 PM
data1-01_chunk_211.wav,0,model,1,211,12:05:00 PM
data1-01_chunk_212.wav,0,model,1,212,12:05:10 PM
data1-01_chunk_213.wav,1,model,1,213,12:05:20 PM
data1-01_chunk_214.wav,0,model,1,214,12:05:30 PM
data1-01_chunk_215.wav,1,model,1,215,12:05:40 PM
data1-01_chunk_216.wav,1,model,1,216,12:05:50 PM
data1-01_chunk_217.wav,1,model,1,217,12:06:00 PM
data1-01_chunk_218.wav,0,model,1,218,12:06:10 PM
data1-01_chunk_219.wav,1,model,1,219,12:06:20 PM
data1-01_chunk_220.wav,1,model,1,220,12:06:30 PM
data1-01_chunk_221.wav,0,model,1,221,12:06:40 PM
data1-01_chunk_222.wav,0,model,1,222,12:06:50 PM
data1-01_chunk_223.wav,0,model,1,223,12:07:00 PM
data1-01_chunk_224.wav,1,model,1,224,12:07:10 PM
data1-01_chunk_225.wav,0,model,1,225,12:07:20 PM
data1-01_chunk_226.wav,1,model,1,226,12:07:30 PM
data1-01_chunk_227.wav,0,model,1,227,12:07:40 PM
data1-01_chunk_228.wav,1,model,1,228,12:07:50 PM
data1-01_chunk_229.wav,1,model,1,229,12:08:00 PM
data1-01_chunk_230.wav,1,model,1,230,12:08:10 PM
data1-01_chunk_231.wav,0,model,1,231,12:08:20 PM
data1-01_chunk_232.wav,1,model,1,232,12:08:30 PM
data1-01_chunk_233.wav,1,model,1,233,12:08:40 PM
data1-01_chunk_234.wav,1,model,1,234,12:08:50 PM
data1-01_chunk_235.wav,1,model,1,235,12:09:00 PM
data1-01_chunk_236.wav,0,model,1,236,12:09:10 PM
data1-01_chunk_237.wav,0,model,1,237,12:09:20 PM
